epoch,losses
45,"{'adv_total': 0.034571229480206966, 'adv_toward': 0.029650511220097542, 'adv_away': 0.004920718260109425, 'def_total': 14.470402956008911, 'def_toward': 6.573760032653809, 'def_away': 5.826403617858887, 'def_sft': 2.070239305496216}"
46,"{'adv_total': 1.6332839950919151, 'adv_toward': 1.5106312036514282, 'adv_away': 0.12265279144048691, 'def_total': 5.777481317520142, 'def_toward': 3.1239187717437744, 'def_away': 1.7081493139266968, 'def_sft': 0.9454132318496704}"
47,"{'adv_total': 0.58432612195611, 'adv_toward': 0.5547277927398682, 'adv_away': 0.029598329216241837, 'def_total': 11.03154730796814, 'def_toward': 6.704960823059082, 'def_away': 2.793229341506958, 'def_sft': 1.5333571434020996}"
48,"{'adv_total': nan, 'adv_toward': nan, 'adv_away': nan, 'def_total': nan, 'def_toward': nan, 'def_away': nan, 'def_sft': 1.3271520137786865}"
49,"{'adv_total': 1.8689148128032684, 'adv_toward': 1.6560794115066528, 'adv_away': 0.2128354012966156, 'def_total': 3.092429280281067, 'def_toward': 1.8307839632034302, 'def_away': 0.5894249081611633, 'def_sft': 0.6722204089164734}"
50,"{'adv_total': 0.5446590334177017, 'adv_toward': 0.510959267616272, 'adv_away': 0.03369976580142975, 'def_total': 11.330763101577759, 'def_toward': 6.547525882720947, 'def_away': 3.9032957553863525, 'def_sft': 0.879941463470459}"
51,"{'adv_total': 0.039667761069722474, 'adv_toward': 0.03947804123163223, 'adv_away': 0.00018971983809024096, 'def_total': 16.08443021774292, 'def_toward': 8.459521293640137, 'def_away': 6.321075916290283, 'def_sft': 1.3038330078125}"
52,"{'adv_total': 1.0953445583581924, 'adv_toward': 0.9309961795806885, 'adv_away': 0.16434837877750397, 'def_total': 5.980190634727478, 'def_toward': 2.9770119190216064, 'def_away': 2.3286666870117188, 'def_sft': 0.6745120286941528}"
53,"{'adv_total': 0.67388647608459, 'adv_toward': 0.6546472907066345, 'adv_away': 0.019239185377955437, 'def_total': 13.74133014678955, 'def_toward': 7.495779991149902, 'def_away': 2.8322243690490723, 'def_sft': 3.413325786590576}"
54,"{'adv_total': 1.5666761696338654, 'adv_toward': 1.4276444911956787, 'adv_away': 0.13903167843818665, 'def_total': 6.255146145820618, 'def_toward': 3.9332046508789062, 'def_away': 1.0146292448043823, 'def_sft': 1.307312250137329}"
55,"{'adv_total': 1.6319980025291443, 'adv_toward': 1.3365776538848877, 'adv_away': 0.2954203486442566, 'def_total': 4.532500267028809, 'def_toward': 2.5725386142730713, 'def_away': 0.8965240716934204, 'def_sft': 1.063437581062317}"
56,"{'adv_total': 0.055995550006628036, 'adv_toward': 0.05095973238348961, 'adv_away': 0.005035817623138428, 'def_total': 14.717882215976715, 'def_toward': 6.625528812408447, 'def_away': 7.11829137802124, 'def_sft': 0.9740620255470276}"
57,"{'adv_total': 0.006117647979408503, 'adv_toward': 0.0036615198478102684, 'adv_away': 0.002456128131598234, 'def_total': 15.870152473449707, 'def_toward': 7.310520648956299, 'def_away': 6.6595869064331055, 'def_sft': 1.9000449180603027}"
58,"{'adv_total': 1.1129914373159409, 'adv_toward': 0.9249199032783508, 'adv_away': 0.18807153403759003, 'def_total': 6.561625182628632, 'def_toward': 3.7568111419677734, 'def_away': 2.2425360679626465, 'def_sft': 0.5622779726982117}"
59,"{'adv_total': 0.8374407589435577, 'adv_toward': 0.766423761844635, 'adv_away': 0.07101699709892273, 'def_total': 10.5571928024292, 'def_toward': 5.540848731994629, 'def_away': 2.429173231124878, 'def_sft': 2.5871708393096924}"
60,"{'adv_total': 1.290650025010109, 'adv_toward': 1.1792101860046387, 'adv_away': 0.11143983900547028, 'def_total': 6.4713908433914185, 'def_toward': 3.5840342044830322, 'def_away': 1.7343162298202515, 'def_sft': 1.1530404090881348}"
61,"{'adv_total': 2.4341153353452682, 'adv_toward': 2.3520829677581787, 'adv_away': 0.08203236758708954, 'def_total': 3.893720328807831, 'def_toward': 2.799356460571289, 'def_away': 0.6378479599952698, 'def_sft': 0.456515908241272}"
62,"{'adv_total': 0.015458895824849606, 'adv_toward': 0.012468256987631321, 'adv_away': 0.0029906388372182846, 'def_total': 15.292189598083496, 'def_toward': 6.912687301635742, 'def_away': 7.117196083068848, 'def_sft': 1.2623062133789062}"
63,"{'adv_total': 0.031439827755093575, 'adv_toward': 0.03092585690319538, 'adv_away': 0.0005139708518981934, 'def_total': 15.004641771316528, 'def_toward': 8.272143363952637, 'def_away': 5.698319911956787, 'def_sft': 1.0341784954071045}"
64,"{'adv_total': 1.023392140865326, 'adv_toward': 0.8818318843841553, 'adv_away': 0.14156025648117065, 'def_total': 7.092097043991089, 'def_toward': 4.073734283447266, 'def_away': 1.8413095474243164, 'def_sft': 1.1770532131195068}"
65,"{'adv_total': 1.2122136196121573, 'adv_toward': 1.1978623867034912, 'adv_away': 0.014351232908666134, 'def_total': 8.547631919384003, 'def_toward': 6.335092067718506, 'def_away': 1.5401140451431274, 'def_sft': 0.6724258065223694}"
66,"{'adv_total': 0.9567077457904816, 'adv_toward': 0.7770344614982605, 'adv_away': 0.17967328429222107, 'def_total': 5.684828579425812, 'def_toward': 3.0954010486602783, 'def_away': 2.002393960952759, 'def_sft': 0.5870335698127747}"
67,"{'adv_total': 2.040892332792282, 'adv_toward': 1.826873540878296, 'adv_away': 0.2140187919139862, 'def_total': 2.670176923274994, 'def_toward': 1.9142944812774658, 'def_away': 0.633396327495575, 'def_sft': 0.12248611450195312}"
68,"{'adv_total': 0.0058474368415772915, 'adv_toward': 0.0036301440559327602, 'adv_away': 0.0022172927856445312, 'def_total': 14.99691355228424, 'def_toward': 6.399984836578369, 'def_away': 7.566636562347412, 'def_sft': 1.0302921533584595}"
69,"{'adv_total': 0.01404344942420721, 'adv_toward': 0.01097569614648819, 'adv_away': 0.003067753277719021, 'def_total': 14.248040318489075, 'def_toward': 6.823200225830078, 'def_away': 6.231913089752197, 'def_sft': 1.1929270029067993}"
70,"{'adv_total': 1.3220014423131943, 'adv_toward': 1.1695640087127686, 'adv_away': 0.15243743360042572, 'def_total': 5.711697697639465, 'def_toward': 3.4224648475646973, 'def_away': 1.6564997434616089, 'def_sft': 0.6327331066131592}"
71,"{'adv_total': 1.313055843114853, 'adv_toward': 1.116905689239502, 'adv_away': 0.19615015387535095, 'def_total': 6.108353137969971, 'def_toward': 4.203108787536621, 'def_away': 1.3555055856704712, 'def_sft': 0.5497387647628784}"
72,"{'adv_total': 0.6871602311730385, 'adv_toward': 0.5883225202560425, 'adv_away': 0.098837710916996, 'def_total': 6.558390378952026, 'def_toward': 3.4597299098968506, 'def_away': 2.4355671405792236, 'def_sft': 0.6630933284759521}"
73,"{'adv_total': nan, 'adv_toward': nan, 'adv_away': nan, 'def_total': nan, 'def_toward': nan, 'def_away': nan, 'def_sft': 0.4793800413608551}"
74,"{'adv_total': 0.00952737801708281, 'adv_toward': 0.006240866146981716, 'adv_away': 0.0032865118701010942, 'def_total': 14.792114078998566, 'def_toward': 6.490686416625977, 'def_away': 7.5049285888671875, 'def_sft': 0.7964990735054016}"
