epoch,losses
65,"{'adv_total': 0.030637289630249143, 'adv_toward': 0.028378482908010483, 'adv_away': 0.00225880672223866, 'def_total': 14.534648478031158, 'def_toward': 6.646671295166016, 'def_away': 7.126114845275879, 'def_sft': 0.7618623375892639}"
66,"{'adv_total': 0.5703131482005119, 'adv_toward': 0.533807098865509, 'adv_away': 0.0365060493350029, 'def_total': 8.143023610115051, 'def_toward': 4.027805328369141, 'def_away': 2.8916430473327637, 'def_sft': 1.223575234413147}"
67,"{'adv_total': 0.048123860731720924, 'adv_toward': 0.03410850837826729, 'adv_away': 0.014015352353453636, 'def_total': 13.031685650348663, 'def_toward': 6.346534729003906, 'def_away': 5.851797103881836, 'def_sft': 0.8333538174629211}"
68,"{'adv_total': 1.1058813855051994, 'adv_toward': 1.017897367477417, 'adv_away': 0.08798401802778244, 'def_total': 7.145895719528198, 'def_toward': 4.271470069885254, 'def_away': 1.9869335889816284, 'def_sft': 0.8874920606613159}"
69,"{'adv_total': 0.006323595531284809, 'adv_toward': 0.002843182533979416, 'adv_away': 0.0034804129973053932, 'def_total': 13.080625295639038, 'def_toward': 7.136534214019775, 'def_away': 4.773305416107178, 'def_sft': 1.170785665512085}"
70,"{'adv_total': 0.7792607694864273, 'adv_toward': 0.6332919597625732, 'adv_away': 0.14596880972385406, 'def_total': 7.738121509552002, 'def_toward': 3.4803130626678467, 'def_away': 3.0571987628936768, 'def_sft': 1.2006096839904785}"
71,"{'adv_total': 0.02258065529167652, 'adv_toward': 0.016258185729384422, 'adv_away': 0.006322469562292099, 'def_total': 13.856362164020538, 'def_toward': 6.474671840667725, 'def_away': 6.734048843383789, 'def_sft': 0.6476414799690247}"
72,"{'adv_total': 0.7972349151968956, 'adv_toward': 0.7329599261283875, 'adv_away': 0.06427498906850815, 'def_total': 6.532528102397919, 'def_toward': 3.88330078125, 'def_away': 2.059720993041992, 'def_sft': 0.5895063281059265}"
73,"{'adv_total': 0.010575409512966871, 'adv_toward': 0.005133723374456167, 'adv_away': 0.005441686138510704, 'def_total': 13.721378445625305, 'def_toward': 6.663599014282227, 'def_away': 6.013203144073486, 'def_sft': 1.0445762872695923}"
74,"{'adv_total': 0.9701083451509476, 'adv_toward': 0.9406554698944092, 'adv_away': 0.02945287525653839, 'def_total': 8.851800799369812, 'def_toward': 5.643867492675781, 'def_away': 2.2044341564178467, 'def_sft': 1.003499150276184}"
