epoch,losses
49,"{'adv_total': 0.0024975088890641928, 'adv_toward': 0.0015159307513386011, 'adv_away': 0.0009815781377255917, 'def_total': 16.46546709537506, 'def_toward': 7.061197757720947, 'def_away': 8.366966247558594, 'def_sft': 1.03730309009552}"
50,"{'adv_total': 0.05495421402156353, 'adv_toward': 0.027939271181821823, 'adv_away': 0.027014942839741707, 'def_total': 13.31347644329071, 'def_toward': 6.5761213302612305, 'def_away': 5.73325252532959, 'def_sft': 1.0041025876998901}"
51,"{'adv_total': nan, 'adv_toward': nan, 'adv_away': nan, 'def_total': nan, 'def_toward': nan, 'def_away': nan, 'def_sft': 0.8467095494270325}"
52,"{'adv_total': 0.9620945304632187, 'adv_toward': 0.8330287933349609, 'adv_away': 0.12906573712825775, 'def_total': 7.963757038116455, 'def_toward': 3.8702826499938965, 'def_away': 2.863173723220825, 'def_sft': 1.2303006649017334}"
53,"{'adv_total': nan, 'adv_toward': nan, 'adv_away': nan, 'def_total': nan, 'def_toward': nan, 'def_away': nan, 'def_sft': 1.020255208015442}"
54,"{'adv_total': 1.94501431286335, 'adv_toward': 1.8427784442901611, 'adv_away': 0.10223586857318878, 'def_total': 5.275633156299591, 'def_toward': 3.5363218784332275, 'def_away': 0.9260071516036987, 'def_sft': 0.8133041262626648}"
55,"{'adv_total': nan, 'adv_toward': nan, 'adv_away': nan, 'def_total': nan, 'def_toward': nan, 'def_away': nan, 'def_sft': 1.0024000406265259}"
56,"{'adv_total': 1.0805050805211067, 'adv_toward': 0.9611280560493469, 'adv_away': 0.1193770244717598, 'def_total': 7.843203365802765, 'def_toward': 4.783581256866455, 'def_away': 2.1234943866729736, 'def_sft': 0.9361277222633362}"
57,"{'adv_total': 0.8451846092939377, 'adv_toward': 0.7713323831558228, 'adv_away': 0.07385222613811493, 'def_total': 7.816717505455017, 'def_toward': 4.487931728363037, 'def_away': 2.7858405113220215, 'def_sft': 0.5429452657699585}"
58,"{'adv_total': 1.124953955411911, 'adv_toward': 0.8554396629333496, 'adv_away': 0.2695142924785614, 'def_total': 5.636721909046173, 'def_toward': 3.1927597522735596, 'def_away': 1.692007064819336, 'def_sft': 0.7519550919532776}"
59,"{'adv_total': 0.004178798524662852, 'adv_toward': 0.0016485017258673906, 'adv_away': 0.0025302967987954617, 'def_total': 15.846328258514404, 'def_toward': 7.063431262969971, 'def_away': 7.597773551940918, 'def_sft': 1.1851234436035156}"
60,"{'adv_total': 0.03550134878605604, 'adv_toward': 0.029421396553516388, 'adv_away': 0.006079952232539654, 'def_total': 13.600165247917175, 'def_toward': 6.259458541870117, 'def_away': 6.297597408294678, 'def_sft': 1.0431092977523804}"
61,"{'adv_total': 0.8050245642662048, 'adv_toward': 0.6137574315071106, 'adv_away': 0.19126713275909424, 'def_total': 7.4188538789749146, 'def_toward': 3.427671194076538, 'def_away': 2.660151958465576, 'def_sft': 1.3310307264328003}"
