epoch,losses
45,"{'adv_total': 0.09276164695620537, 'adv_toward': 0.07635127007961273, 'adv_away': 0.016410376876592636, 'def_total': 9.365964770317078, 'def_toward': 4.954094886779785, 'def_away': 3.3651444911956787, 'def_sft': 1.0467253923416138}"
46,"{'adv_total': 0.046369729563593864, 'adv_toward': 0.03485209122300148, 'adv_away': 0.011517638340592384, 'def_total': 14.009203970432281, 'def_toward': 6.602235317230225, 'def_away': 6.577576160430908, 'def_sft': 0.8293924927711487}"
47,"{'adv_total': nan, 'adv_toward': nan, 'adv_away': nan, 'def_total': nan, 'def_toward': nan, 'def_away': nan, 'def_sft': 0.3996743857860565}"
48,"{'adv_total': 0.04228045209310949, 'adv_toward': 0.04009385406970978, 'adv_away': 0.0021865980233997107, 'def_total': 14.47399652004242, 'def_toward': 7.235965251922607, 'def_away': 6.454236030578613, 'def_sft': 0.7837952375411987}"
49,"{'adv_total': 0.008327779883984476, 'adv_toward': 0.007428959012031555, 'adv_away': 0.0008988208719529212, 'def_total': 14.081144213676453, 'def_toward': 6.890400409698486, 'def_away': 6.265649318695068, 'def_sft': 0.925094485282898}"
50,"{'adv_total': 0.008907014038413763, 'adv_toward': 0.008074444718658924, 'adv_away': 0.0008325693197548389, 'def_total': 15.772341012954712, 'def_toward': 8.77353286743164, 'def_away': 6.233848571777344, 'def_sft': 0.7649595737457275}"
51,"{'adv_total': 0.055051800329238176, 'adv_toward': 0.04844687506556511, 'adv_away': 0.006604925263673067, 'def_total': 13.385621309280396, 'def_toward': 6.746212005615234, 'def_away': 5.585039138793945, 'def_sft': 1.0543701648712158}"
52,"{'adv_total': 0.010599161963909864, 'adv_toward': 0.004913940094411373, 'adv_away': 0.005685221869498491, 'def_total': 13.83704125881195, 'def_toward': 6.648015022277832, 'def_away': 6.318927764892578, 'def_sft': 0.8700984716415405}"
53,"{'adv_total': 0.010999358957633376, 'adv_toward': 0.008014989085495472, 'adv_away': 0.002984369872137904, 'def_total': 13.403833568096161, 'def_toward': 6.967175006866455, 'def_away': 5.893033981323242, 'def_sft': 0.5436245799064636}"
54,"{'adv_total': 0.020861280150711536, 'adv_toward': 0.015557213686406612, 'adv_away': 0.005304066464304924, 'def_total': 12.533400774002075, 'def_toward': 6.387654781341553, 'def_away': 5.2678914070129395, 'def_sft': 0.877854585647583}"
55,"{'adv_total': 0.0739585617557168, 'adv_toward': 0.06281475722789764, 'adv_away': 0.011143804527819157, 'def_total': 10.84207671880722, 'def_toward': 5.482421875, 'def_away': 4.6167144775390625, 'def_sft': 0.742940366268158}"
56,"{'adv_total': 0.02788487554062158, 'adv_toward': 0.026434902101755142, 'adv_away': 0.0014499734388664365, 'def_total': 13.118871808052063, 'def_toward': 5.994321346282959, 'def_away': 6.163845062255859, 'def_sft': 0.9607053995132446}"
