epoch,losses
79,"{'adv_total': 0.06426948681473732, 'adv_toward': 0.05553054064512253, 'adv_away': 0.008738946169614792}"
80,"{'adv_total': 0.08650701539590955, 'adv_toward': 0.07978291809558868, 'adv_away': 0.006724097300320864}"
81,"{'adv_total': 0.17018235009163618, 'adv_toward': 0.16096879541873932, 'adv_away': 0.009213554672896862}"
82,"{'adv_total': 0.4838695302605629, 'adv_toward': 0.39091867208480835, 'adv_away': 0.09295085817575455}"
83,"{'adv_total': 0.30946730077266693, 'adv_toward': 0.18984083831310272, 'adv_away': 0.11962646245956421}"
84,"{'adv_total': 0.19749943912029266, 'adv_toward': 0.15870237350463867, 'adv_away': 0.03879706561565399}"
85,"{'adv_total': 0.5584439188241959, 'adv_toward': 0.44674113392829895, 'adv_away': 0.11170278489589691}"
86,"{'adv_total': 0.3841279000043869, 'adv_toward': 0.2949148714542389, 'adv_away': 0.08921302855014801}"
87,"{'adv_total': 0.5032128244638443, 'adv_toward': 0.4035094976425171, 'adv_away': 0.09970332682132721}"
88,"{'adv_total': 0.18027335032820702, 'adv_toward': 0.150052011013031, 'adv_away': 0.03022133931517601}"
89,"{'adv_total': 0.6424693316221237, 'adv_toward': 0.5872830748558044, 'adv_away': 0.055186256766319275}"
90,"{'adv_total': 0.6431699097156525, 'adv_toward': 0.5707012414932251, 'adv_away': 0.07246866822242737}"
91,"{'adv_total': 0.6072963699698448, 'adv_toward': 0.5332109332084656, 'adv_away': 0.07408543676137924}"
92,"{'adv_total': 0.45899247378110886, 'adv_toward': 0.3341808319091797, 'adv_away': 0.12481164187192917}"
93,"{'adv_total': 0.7666919976472855, 'adv_toward': 0.7475369572639465, 'adv_away': 0.019155040383338928}"
94,"{'adv_total': 0.9349803328514099, 'adv_toward': 0.7743229866027832, 'adv_away': 0.1606573462486267}"
95,"{'adv_total': 0.4586000554263592, 'adv_toward': 0.4097192585468292, 'adv_away': 0.04888079687952995}"
96,"{'adv_total': 0.822304368019104, 'adv_toward': 0.6868839859962463, 'adv_away': 0.13542038202285767}"
97,"{'adv_total': 0.9213415011763573, 'adv_toward': 0.8063706755638123, 'adv_away': 0.11497082561254501}"
98,"{'adv_total': 0.6594536304473877, 'adv_toward': 0.4805391728878021, 'adv_away': 0.17891445755958557}"
99,"{'adv_total': 1.4876709580421448, 'adv_toward': 1.3345413208007812, 'adv_away': 0.15312963724136353}"
